Data Source,Component,Source,Relationship,Target,OSSEM Id,EventID,Event Name,Event Platform,Log Source,Filter in Log,Audit Category,Audit Sub-Category,Enable Commands,GPO Audit Policy
Scheduled Job,scheduled job creation,user,created,scheduled job,REL-2022-0030,4698,A scheduled task was created.,windows,Microsoft-Windows-Security-Auditing,,Object Access,Other Object Access Events,auditpol /set /subcategory:Other Object Access Events /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Other Object Access Events
Scheduled Job,scheduled job creation,user,created,scheduled job,REL-2022-0030,DeviceEvents,DeviceEvents,windows,Microsoft Defender for Endpoint,[{'ActionType': 'ScheduledTaskCreated'}],,,,
Firewall,firewall enumeration,user,listed,firewall rule,REL-2022-0032,cloudtrail,cloudtrail,aws,cloudtrail,"[{'eventName': 'ListRuleGroups'}, {'eventType': 'AwsApiCall'}]",,,,
Network Traffic,network connection creation,host,blocked connection to,process,REL-2022-0033,5157,The Windows Filtering Platform has blocked a connection.,windows,Microsoft-Windows-Security-Auditing,,Object Access,Filtering Platform Connection,auditpol /set /subcategory:Filtering Platform Connection /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Filtering Platform Connection
Network Traffic,network connection creation,host,blocked connection to,process,REL-2022-0033,5031,The Windows Firewall Service blocked an application from accepting incoming connections on the network.,windows,Microsoft-Windows-Security-Auditing,,Object Access,Filtering Platform Connection,auditpol /set /subcategory:Filtering Platform Connection /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Filtering Platform Connection
Network Traffic,network connection creation,host,blocked connection to,process,REL-2022-0033,DeviceEvents,DeviceEvents,windows,Microsoft Defender for Endpoint,[{'ActionType': 'FirewallInboundConnectionToAppBlocked'}],,,,
Scheduled Job,scheduled job deletion,user,deleted,scheduled job,REL-2022-0034,4699,A scheduled task was deleted.,windows,Microsoft-Windows-Security-Auditing,,Object Access,Other Object Access Events,auditpol /set /subcategory:Other Object Access Events /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Other Object Access Events
Scheduled Job,scheduled job deletion,user,deleted,scheduled job,REL-2022-0034,DeviceEvents,DeviceEvents,windows,Microsoft Defender for Endpoint,[{'ActionType': 'ScheduledTaskDeleted'}],,,,
Firewall,firewall disable,firewall,disabled,,REL-2022-0035,5025,The Windows Firewall Service has been stopped.,windows,Microsoft-Windows-Security-Auditing,,System,Other System Events,auditpol /set /subcategory:Other System Events /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> System -> Audit Other System Events
Firewall,firewall disable,firewall,disabled,,REL-2022-0035,5034,The Windows Firewall Driver was stopped.,windows,Microsoft-Windows-Security-Auditing,,System,Other System Events,auditpol /set /subcategory:Other System Events /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> System -> Audit Other System Events
File,file access,process,requested access to,file,REL-2022-0036,4656,A handle to an object was requested.,windows,Microsoft-Windows-Security-Auditing,[{'ObjectType': 'File'}],Object Access,File System,auditpol /set /subcategory:File System /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit File System
Group,group creation,user,created,group,REL-2022-0037,4727,A security-enabled global group was created.,windows,Microsoft-Windows-Security-Auditing,,Account Management,Security Group Management,auditpol /set /subcategory:Security Group Management /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit Security Group Management
Group,group creation,user,created,group,REL-2022-0037,4731,A security-enabled local group was created.,windows,Microsoft-Windows-Security-Auditing,,Account Management,Security Group Management,auditpol /set /subcategory:Security Group Management /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit Security Group Management
Group,group creation,user,created,group,REL-2022-0037,4754,A security-enabled universal group was created.,windows,Microsoft-Windows-Security-Auditing,,Account Management,Security Group Management,auditpol /set /subcategory:Security Group Management /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit Security Group Management
File,file modification,user,modified,file,REL-2022-0041,4670,Permissions on an object were changed.,windows,Microsoft-Windows-Security-Auditing,,Object Access,File System,auditpol /set /subcategory:File System /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit File System
File,file modification,user,modified,file,REL-2022-0041,DeviceFileEvents,DeviceFileEvents,windows,Microsoft Defender for Endpoint,[{'ActionType': 'FileModified'}],,,,
User Account,user account modification,user,granted access to,user,REL-2022-0042,4717,System security access was granted to an account.,windows,Microsoft-Windows-Security-Auditing,,Policy Change,Authentication Policy Change,auditpol /set /subcategory:Authentication Policy Change /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Policy Change -> Audit Authentication Policy Change
File,file creation,user,created,file,REL-2022-0043,11,FileCreate.,linux,sysmon,,FileCreate,,,
File,file creation,user,created,file,REL-2022-0043,DeviceFileEvents,DeviceFileEvents,windows,Microsoft Defender for Endpoint,[{'ActionType': 'FileCreated'}],,,,
File,file creation,user,created,file,REL-2022-0043,4663,An attempt was made to access an object.,windows,Microsoft-Windows-Security-Auditing,,Object Access,File System,auditpol /set /subcategory:File System /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit File System
Drive,drive modification,user,enabled,drive,REL-2022-0044,6422,A device was enabled.,windows,Microsoft-Windows-Security-Auditing,,Detailed Tracking,PNP Activity,auditpol /set /subcategory:PNP Activity /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Detailed Tracking -> Audit PNP Activity
Group,group deletion,user,deleted,group,REL-2022-0045,4730,A security-enabled global group was deleted.,windows,Microsoft-Windows-Security-Auditing,,Account Management,Security Group Management,auditpol /set /subcategory:Security Group Management /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit Security Group Management
Group,group deletion,user,deleted,group,REL-2022-0045,4734,A security-enabled local group was deleted.,windows,Microsoft-Windows-Security-Auditing,,Account Management,Security Group Management,auditpol /set /subcategory:Security Group Management /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit Security Group Management
Group,group deletion,user,deleted,group,REL-2022-0045,4758,A security-enabled universal group was deleted.,windows,Microsoft-Windows-Security-Auditing,,Account Management,Security Group Management,auditpol /set /subcategory:Security Group Management /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Account Management -> Audit Security Group Management
Logon Session,logon session creation,user,created logon session from,ip,REL-2022-0046,4624,An account was successfully logged on.,windows,Microsoft-Windows-Security-Auditing,,Logon/Logoff,Logon,auditpol /set /subcategory:Logon /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Logon/Logoff -> Audit Logon
Logon Session,logon session creation,user,created logon session from,ip,REL-2022-0046,4778,A session was reconnected to a Window Station.,windows,Microsoft-Windows-Security-Auditing,,Logon/Logoff,Other Logon/Logoff Events,auditpol /set /subcategory:Other Logon/Logoff Events /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Logon/Logoff -> Audit Other Logon/Logoff Events
Logon Session,logon session creation,user,created logon session from,ip,REL-2022-0046,DeviceLogonEvents,DeviceLogonEvents,windows,Microsoft Defender for Endpoint,[{'ActionType': 'LogonSuccess'}],,,,
Windows Registry,windows registry key access,process,accessed,windows registry key,REL-2022-0048,4663,An attempt was made to access an object.,windows,Microsoft-Windows-Security-Auditing,[{'ObjectType': 'Key'}],Object Access,Registry,auditpol /set /subcategory:Registry /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Registry
Firewall,firewall metadata,firewall,enabled,,REL-2022-0049,5024,The Windows Firewall Service has started successfully.,windows,Microsoft-Windows-Security-Auditing,,System,Other System Events,auditpol /set /subcategory:Other System Events /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> System -> Audit Other System Events
Logon Session,logon session metadata,logon session,metadata,,REL-2022-0050,4703,A token right was adjusted.,windows,Microsoft-Windows-Security-Auditing,,Policy Change,Authorization Policy Change,auditpol /set /subcategory:Authorization Policy Change /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Policy Change -> Audit Authorization Policy Change
Logon Session,logon session metadata,logon session,metadata,,REL-2022-0050,4673,A privileged service was called.,windows,Microsoft-Windows-Security-Auditing,,Privilege Use,Sensitive Privilege Use,auditpol /set /subcategory:Sensitive Privilege Use /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Privilege Use -> Audit Sensitive Privilege Use
Logon Session,logon session metadata,logon session,metadata,,REL-2022-0050,4674,An operation was attempted on a privileged object.,windows,Microsoft-Windows-Security-Auditing,,Privilege Use,Sensitive Privilege Use,auditpol /set /subcategory:Sensitive Privilege Use /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Privilege Use -> Audit Sensitive Privilege Use
Logon Session,logon session metadata,logon session,metadata,,REL-2022-0050,4610,An authentication package has been loaded by the Local Security Authority.,windows,Microsoft-Windows-Security-Auditing,,System,Security System Extension,auditpol /set /subcategory:Security System Extension /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> System -> Audit Security System Extension
Logon Session,logon session metadata,logon session,metadata,,REL-2022-0050,4611,A trusted logon process has been registered with the Local Security Authority.,windows,Microsoft-Windows-Security-Auditing,,System,Security System Extension,auditpol /set /subcategory:Security System Extension /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> System -> Audit Security System Extension
Logon Session,logon session metadata,logon session,metadata,,REL-2022-0050,4614,A notification package has been loaded by the Security Account Manager.,windows,Microsoft-Windows-Security-Auditing,,System,Security System Extension,auditpol /set /subcategory:Security System Extension /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> System -> Audit Security System Extension
Logon Session,logon session metadata,logon session,metadata,,REL-2022-0050,4622,A security package has been loaded by the Local Security Authority.,windows,Microsoft-Windows-Security-Auditing,,System,Security System Extension,auditpol /set /subcategory:Security System Extension /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> System -> Audit Security System Extension
Network Traffic,network connection creation,process,connected from,host,REL-2022-0051,3,Network connection.,windows,sysmon,,NetworkConnect,,<NetworkConnect onmatch='exclude' />,
Network Traffic,network connection creation,process,connected from,host,REL-2022-0051,3,Network connection.,linux,sysmon,,NetworkConnect,,,
Network Traffic,network connection creation,process,connected from,host,REL-2022-0051,DeviceNetworkEvents,DeviceNetworkEvents,windows,Microsoft Defender for Endpoint,[{'ActionType': 'InboundConnectionAccepted'}],,,,
Drive,drive modification,user,attempted to disable,drive,REL-2022-0053,6419,A request was made to disable a device.,windows,Microsoft-Windows-Security-Auditing,,Detailed Tracking,PNP Activity,auditpol /set /subcategory:PNP Activity /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Detailed Tracking -> Audit PNP Activity
Network Traffic,network connection creation,process,attempted connection to,ip,REL-2022-0056,5157,The Windows Filtering Platform has blocked a connection.,windows,Microsoft-Windows-Security-Auditing,,Object Access,Filtering Platform Connection,auditpol /set /subcategory:Filtering Platform Connection /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Object Access -> Audit Filtering Platform Connection
Network Traffic,network connection creation,process,attempted connection to,ip,REL-2022-0056,DeviceNetworkEvents,DeviceNetworkEvents,windows,Microsoft Defender for Endpoint,[{'ActionType': 'ConnectionAttempt'}],,,,
Network Traffic,network connection creation,user,connected to,ip,REL-2022-0057,3,Network connection.,windows,sysmon,,NetworkConnect,,<NetworkConnect onmatch='exclude' />,
Network Traffic,network connection creation,user,connected to,ip,REL-2022-0057,3,Network connection.,linux,sysmon,,NetworkConnect,,,
Network Traffic,network connection creation,user,connected to,ip,REL-2022-0057,DeviceNetworkEvents,DeviceNetworkEvents,windows,Microsoft Defender for Endpoint,[{'ActionType': 'ConnectionSuccess'}],,,,
,,logon process,trusted,,REL-2022-0187,4611,A trusted logon process has been registered with the Local Security Authority.,windows,Microsoft-Windows-Security-Auditing,,System,Security System Extension,auditpol /set /subcategory:Security System Extension /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> System -> Audit Security System Extension
Logon Session,logon session creation,user,created logon session from,port,REL-2022-0059,4624,An account was successfully logged on.,windows,Microsoft-Windows-Security-Auditing,,Logon/Logoff,Logon,auditpol /set /subcategory:Logon /success:enable /failure:enable,Computer Configuration -> Windows Settings -> Security Settings -> Advanced Audit Policy Configuration -> System Audit Policies -> Logon/Logoff -> Audit Logon
Logon Session,logon session creation,user,created logon session from,port,REL-2022-0059,DeviceLogonEvents,DeviceLogonEvents,windows,Microsoft Defender for Endpoint,[{'ActionType': 'LogonSuccess'}],,,,
Named Pipe,named pipe metadata,process,connected to,pipe,REL-2022-0060,18,PipeEvent (Pipe Connected).,windows,sysmon,,PipeEvent,,<PipeEvent onmatch='exclude' />,
